city,country,population,timezone,latitude,longitude
Chennai,India,6599000,,13.0825,80.275
Coimbatore,India,959823,,11.0,76.966666666
Madurai,India,1561129,,9.919,78.11953
Tiruchirappalli,India,916857,,10.826944444,78.692777777
Salem,India,693236,,11.65,78.166666666
Thanjavur,India,222943,,10.78523,79.13909
Kanyakumari,India,19678,,8.091111111,77.541666666
Rameswaram,India,44856,,9.28,79.3
Tirunelveli,India,411298,,8.728888888,77.708055555
Erode,India,151184,,11.340833333,77.717222222
Bengaluru,India,12327000,,12.97194,77.59369
Mysore,India,868313,,12.29791,76.63925
Belgaum,India,488157,,15.856944444,74.504444444
Hyderabad,India,9305000,,17.361666666,78.474722222
Warangal,India,704570,,18.0,79.58333
Vijayawada,India,1048240,,16.516666666,80.616666666
Visakhapatnam,India,2035922,,17.733333333,83.316666666
Mumbai,India,15414288,,19.075833333,72.8775
Pune,India,5945000,,18.519574,73.855287
Nagpur,India,2228018,,21.149722222,79.080555555
Nashik,India,1486053,,20.0,73.783333333
Shirdi,India,31978,,19.77,74.48
Central Delhi district,India,582320,,28.645,77.245
Agra,India,1585705,,27.18,78.02
Jaipur,India,3073350,,26.916666666,75.866666666
Chhota Udaipur district,India,0,,22.32,74.01
Jaisalmer,India,67604,,26.916666666,70.916666666
Lucknow,India,3382000,,26.847,80.947
Varanasi,India,1198491,,25.318888888,83.012777777
Bhopal,India,1883381,,23.25,77.416666666
Indore,India,1994397,,22.720555555,75.847222222
Gwalior,India,1069276,,26.2125,78.1775
Ahmedabad,India,7645000,,23.021944444,72.579722222
Surat,India,5935000,,21.205,72.84
Gandhinagar,India,9773,,12.953,79.141
Kolkata,India,4496694,,22.5726723,88.3638815
Darjeeling,India,118805,,27.0375,88.263055555
Siliguri,India,218718,,26.71004,88.42851
Patna,India,1684222,,25.61,85.141388888
Bodh Gaya,India,52000,,24.695,84.9925
Guwahati,India,1116267,,26.1805876,91.750238
Srinagar,India,20216,,30.223055555,78.79
Leh,India,30870,,34.164166666,77.584722222
Manali,India,32363,,13.163611111,80.258561111
Shimla,India,206575,,31.103333333,77.172222222
Amritsar,India,1092450,,31.62234,74.87534
